company_name,rank,website,policy_url
Walmart ,1,http://www.walmart.com,https://corporate.walmart.com/privacy-security/walmart-privacy-policy
Exxon Mobil ,2,http://www.exxonmobil.com,https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy
Apple ,3,http://www.apple.com,http://www.apple.com/privacy/
Berkshire Hathaway ,4,http://www.berkshirehathaway.com,http://www.berkshirehathaway.com/disclaimer.html
Amazon.com ,5,http://www.amazon.com,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496&ref_=footer_privacy
UnitedHealth Group ,6,http://www.unitedhealthgroup.com,http://www.unitedhealthgroup.com/privacy.html
McKesson ,7,http://www.mckesson.com,http://www.mckesson.com/about-mckesson/privacy-notice-summary/  
CVS Health ,8,http://www.cvshealth.com,http://www.cvshealth.com/privacy-policy
AT&T ,9,http://www.att.com,http://about.att.com/sites/privacy_policy
AmerisourceBergen ,10,http://www.amerisourcebergen.com,http://www.amerisourcebergen.com/global-privacy-statement
Chevron ,11,http://www.chevron.com,http://www.chevron.com/privacy
Ford Motor ,12,http://www.corporate.ford.com,https://www.ford.com/help/privacy/
General Motors ,13,http://www.gm.com,http://www.gm.com/privacy-statement.html
Costco Wholesale ,14,http://www.costco.com,"https://www.costco.com/privacy-policy.html
"
Alphabet ,15,http://www.abc.xyz,"https://www.alphabet.com/en-ww/privacy-policy
"
Cardinal Health ,16,http://www.cardinalhealth.com,http://www.cardinalhealth.com/en/support/privacy-policy.html
Walgreens Boots Alliance ,17,http://www.walgreensbootsalliance.com,http://www.walgreensbootsalliance.com/online-privacy-and-security
JPMorgan Chase ,18,http://www.jpmorganchase.com,https://www.jpmorgan.com/country/US/en/privacy
Verizon Communications ,19,http://www.verizon.com,https://www.verizon.com/about/privacy/full-privacy-policy
Kroger ,20,http://www.thekrogerco.com,https://www.kroger.com/topic/privacy-policy-7
General Electric ,21,http://www.ge.com,http://www.ge.com/privacy
Fannie Mae ,22,http://www.fanniemae.com,"https://www.fanniemae.com/portal/privacy-statement.html
"
Phillips 66 ,23,http://www.phillips66.com,http://www.phillips66.com/privacy-statement
Valero Energy ,24,http://www.valero.com,http://www.valero.com/en-us/privacystatement
Bank of America ,25,http://www.bankofamerica.com,http://www.bankofamerica.com/privacy/overview.go?request_locale=en_us
